TIME,Oy,Ox,Dy,Dx,Q,CITY
33985.0,117.679056,24.50715,118.127397,24.467838,1,1
34055.0,117.728584,24.495223,118.064134,24.591537,1,1
34064.0,118.079769,24.456116,117.659449,24.50873,1,0
34183.0,117.715652,24.509011,118.125784,24.479166,1,1
34200.0,117.687368,24.503556,118.131853,24.498345,2,1
34200.0,117.638066,24.505287,118.135517,24.479573,1,1
34200.0,118.030568,24.477319,117.663321,24.507583,1,0
34200.0,117.679293,24.50581,118.148581,24.499947,1,1
34200.0,117.643546,24.505493,118.086192,24.452942,1,1
34200.0,118.112934,24.522754,117.661702,24.478659,1,0
34200.0,117.637537,24.5079,118.001598,24.512001,1,1
34200.0,117.641824,24.534339,118.029496,24.484273,1,1
34200.0,117.674046,24.507476,118.142244,24.53721,1,1
34200.0,117.638066,24.505287,118.097579,24.570666,1,1
34327.0,118.088103,24.476928,117.692015,24.520411,1,0
34348.0,118.194465,24.492018,117.674369,24.498315,1,0
34354.0,117.633016,24.507653,118.070995,24.566569,1,1
34357.0,117.625568,24.527476,118.080051,24.479577,1,1
34365.0,118.095933,24.458962,117.667161,24.50528,1,0
34373.0,118.115163,24.465325,117.634679,24.508543,1,0
34378.0,117.671804,24.507613,118.104055,24.570596,1,1
34428.0,117.68677,24.504264,118.121008,24.479402,1,1
34470.0,117.665857,24.507962,118.182369,24.501971,1,1
34499.0,117.672362,24.507896,118.093918,24.476971,1,1
34587.0,118.192915,24.524546,117.692145,24.49947,2,0
34618.0,118.119465,24.511425,117.678379,24.500194,1,0
34661.0,118.159044,24.520888,117.692301,24.517718,1,0
34783.0,118.133678,24.518947,117.747807,24.50942,1,0
34800.0,118.098671,24.505275,117.644393,24.519539,1,0
34866.0,118.1852,24.505487,117.631257,24.508528,1,0
35029.0,117.666911,24.499467,118.121015,24.522181,1,1
35053.0,118.119408,24.467725,117.658291,24.490173,1,0
35147.0,118.110738,24.463955,117.683096,24.500602,1,0
35187.0,117.676513,24.514427,118.078107,24.452182,1,1
35195.0,118.105336,24.517864,117.661858,24.523032,1,0
35210.0,118.152738,24.541455,117.665592,24.533947,1,0
35309.0,118.104404,24.462543,117.655254,24.475907,1,0
35313.0,117.646909,24.532742,117.94712,24.485654,1,1
35319.0,117.693643,24.503423,118.130498,24.470511,1,1
35339.0,118.093067,24.43493,117.653159,24.526773,1,0
35353.0,118.103285,24.468708,117.691712,24.519537,2,0
35400.0,118.103632,24.462399,117.677982,24.507423,1,0
35400.0,117.636686,24.520916,118.11571,24.501699,1,1
35430.0,117.629353,24.525812,117.95767,24.485334,1,1
35453.0,118.125859,24.489626,117.665364,24.512704,1,0
35575.0,117.653573,24.50637,118.037048,24.526865,1,1
35592.0,118.079019,24.633511,117.692558,24.490521,1,0
35619.0,118.051762,24.490523,117.643575,24.505501,1,0
35637.0,117.724001,24.496375,118.170273,24.529776,1,1
35641.0,118.092842,24.448189,117.717126,24.507406,1,0
35702.0,117.681582,24.517895,118.13386,24.508456,2,1
35763.0,118.107001,24.515535,117.684636,24.502616,1,0
35844.0,118.146675,24.499175,117.681416,24.495325,1,0
35859.0,117.656965,24.518298,118.040562,24.457484,1,1
35916.0,117.641497,24.514274,118.132075,24.547751,1,1
35928.0,117.704004,24.507502,118.05739,24.488307,1,1
36000.0,118.088608,24.451158,117.682105,24.496236,1,0
36000.0,118.123332,24.435446,117.651661,24.503924,2,0
36000.0,117.657621,24.512655,118.09231,24.454754,1,1
36000.0,117.677982,24.507423,118.115663,24.469199,1,1
36000.0,117.658478,24.516245,118.092569,24.448728,1,1
36000.0,118.107874,24.579736,117.651657,24.503919,1,0
36000.0,117.634679,24.508543,118.143502,24.501659,1,1
36000.0,117.638066,24.505287,118.079824,24.478183,1,1
36000.0,117.638066,24.505287,118.147571,24.433341,1,1
36000.0,117.659695,24.516931,118.111822,24.469662,1,1
36000.0,117.997246,24.519608,117.659419,24.505525,1,0
36000.0,117.634094,24.535698,118.087616,24.450186,2,1
36001.0,118.085891,24.450426,117.638066,24.505287,1,0
36013.0,117.664255,24.514576,118.179053,24.472871,1,1
36071.0,118.139139,24.518805,117.703662,24.507385,1,0
36117.0,118.155614,24.521064,117.642042,24.512774,1,0
36161.0,117.65868,24.517634,118.155611,24.491339,1,1
36173.0,118.157537,24.528811,117.681582,24.517895,1,0
36261.0,117.638783,24.518855,118.169801,24.477077,1,1
36293.0,118.024102,24.58597,117.687806,24.501789,1,0
36317.0,117.691894,24.498143,118.060658,24.490513,1,1
36434.0,117.638393,24.524631,118.114254,24.527913,1,1
36600.0,118.07097,24.560969,117.706699,24.495121,1,0
36600.0,118.055314,24.482024,117.663981,24.515596,1,0
