,TIME,Oy,Ox,Dy,Dx,Q,CITY
998,42000.0,118.190678,25.051731,118.048918,24.581461,1,1
997,42000.0,118.036259,24.548495,118.234976,25.072628,1,0
999,42091.0,118.108058,24.563477,118.077143,25.015694,1,0
1000,42175.0,118.132822,24.494289,118.194819,25.05471,1,0
1001,42226.0,118.082135,24.482268,118.202207,25.038912,2,0
1002,42259.0,118.119494,24.491284,118.044966,25.221463,1,0
1003,42275.0,118.063698,24.57471,118.097034,25.013576,1,0
1006,42405.0,118.033094,25.204594,118.145002,24.426516,3,1
1007,42439.0,118.192534,24.479217,118.202412,25.067959,1,0
1008,42518.0,118.205165,25.068813,118.092841,24.44819,2,1
1009,42600.0,118.189169,25.044974,118.092761,24.492657,1,1
1010,42600.0,117.94946,25.018808,118.123883,24.48736,1,1
1011,42648.0,118.11798,24.512846,118.173813,25.058218,1,0
1012,42682.0,118.143628,24.484244,118.2019,25.065591,1,0
1016,42775.0,118.004534,24.999584,118.076499,24.457318,1,1
1017,42954.0,118.029026,24.587934,118.165796,25.064342,1,0
1019,42987.0,118.200019,25.042931,118.167362,24.466984,1,1
1022,43077.0,118.082135,24.482268,118.202207,25.038912,2,0
1023,43137.0,118.226892,25.071523,118.122702,24.534155,1,1
1032,43200.0,118.168441,24.517023,118.086226,24.953533,1,0
1036,43200.0,118.06476,25.212284,118.056778,24.581027,1,1
1049,43200.0,118.043098,24.582797,117.994405,25.000569,1,0
1047,43200.0,118.242021,25.074113,118.152323,24.542164,1,1
1055,43200.0,118.10902,25.02214,118.07973,24.632559,1,1
1050,43200.0,118.237411,25.075538,118.162237,24.443097,1,1
1053,43200.0,118.111812,24.464613,118.17819,25.057312,2,0
1051,43200.0,118.189999,25.054464,118.132508,24.468543,1,1
1025,43200.0,118.184036,25.056618,118.128104,24.504996,2,1
1026,43200.0,118.208663,25.033662,118.164849,24.526768,1,1
1054,43200.0,118.2075,25.048432,118.101994,24.605732,1,1
1038,43200.0,118.181847,25.066476,118.136128,24.531814,1,1
1035,43200.0,118.10355,24.469738,118.191116,25.053333,1,0
1045,43200.0,118.164162,25.059657,118.113041,24.479655,1,1
1040,43200.0,118.100044,24.590805,118.212508,25.04524,1,0
1057,43204.0,118.087005,24.603066,118.19889,25.06218,1,0
1058,43211.0,118.114059,24.605643,118.012529,25.022746,1,0
1059,43266.0,118.206441,25.046638,118.079729,24.632559,1,1
1062,43322.0,118.180259,24.478226,118.007457,25.009533,1,0
1063,43354.0,118.131739,24.49901,118.190981,25.055297,1,0
1065,43397.0,118.149126,24.49049,118.204985,25.061754,1,0
1066,43402.0,118.227533,25.066795,118.177901,24.464977,1,1
1068,43492.0,118.142259,24.60636,118.19321,25.037201,1,0
1069,43511.0,118.094644,24.607016,118.190668,25.056432,1,0
1074,43627.0,118.205541,25.070221,118.084172,24.479136,1,1
1078,43734.0,118.147895,24.488241,118.201892,25.03863,1,0
1080,43800.0,118.151191,24.529125,118.190419,25.049969,1,0
1082,43800.0,118.027835,25.199504,118.150797,24.494598,1,1
1084,43815.0,118.193006,25.057967,118.080403,24.620891,5,1
1085,43850.0,118.131739,24.49901,118.190981,25.055297,1,0
1087,43869.0,118.198032,24.492476,118.175578,25.055331,1,0
1088,43879.0,118.196659,24.483873,118.193446,25.05439,2,0
1089,43894.0,118.126126,24.433469,118.188962,25.0507,1,0
1090,43898.0,118.164545,25.066224,118.079329,24.600394,1,1
1091,43927.0,118.198748,25.063896,118.13159,24.509122,1,1
1092,44008.0,118.034072,24.564045,118.160845,25.071151,1,0
1093,44045.0,118.00439,24.9992,118.09298,24.461223,1,1
1095,44065.0,117.952096,25.018482,118.119146,24.523381,1,1
1096,44083.0,118.045219,25.221812,118.120895,24.464931,1,1
1103,44227.0,118.144841,24.472665,118.006031,24.99819,1,0
1105,44275.0,118.190739,25.045933,118.13214,24.486026,1,1
1106,44344.0,118.146662,24.51129,118.181948,25.038117,1,0
1114,44400.0,118.200731,25.052874,118.187863,24.505234,1,1
1110,44400.0,118.190122,25.051552,118.143808,24.504469,2,1
1112,44400.0,118.138234,24.475456,118.189725,25.049679,1,0
1116,44400.0,118.077978,24.454305,117.952965,25.016284,1,0
1118,44526.0,118.131899,24.468856,118.195619,25.043735,1,0
1120,44586.0,118.131442,24.486703,118.185638,25.047628,1,0
1121,44624.0,118.115388,24.599833,117.99922,24.997909,2,0
1122,44634.0,118.132283,24.487446,118.203509,25.068618,1,0
1124,44700.0,118.198888,25.062181,118.091533,24.5961,1,1
